"title","link","year","rating","n_ratings","genre","cert","country","lang","budget","opening_week","runtime"
"47 Ronin","http://www.imdb.com/title/tt1335975/?ref_=adv_li_tt",2013,6.3,144743," Action, Drama, Fantasy","12A","USA,UK,Japan,Hungary","English,Japanese",1.75e+08,9910310,119
"4:44 Last Day on Earth","http://www.imdb.com/title/tt1707391/?ref_=adv_li_tt",2011,4.6,5016," Drama, Fantasy, Sci-Fi","","USA,Switzerland,France","English",NA,8355,82
"5 Days of War","http://www.imdb.com/title/tt1486193/?ref_=adv_li_tt",2011,5.6,13450," Action, Drama, War","15","Georgia,USA","English",1.2e+07,6254,113
"Ruth & Alex","http://www.imdb.com/title/tt2933544/?ref_=adv_li_tt",2014,6.2,9325," Comedy, Drama","12A","USA","English",6e+06,238491,88
"5 to 7","http://www.imdb.com/title/tt2486678/?ref_=adv_li_tt",2014,7.1,18630," Comedy, Drama, Romance","12","USA","English,French",NA,18006,95
"50/50","http://www.imdb.com/title/tt1306980/?ref_=adv_li_tt",2011,7.6,313559," Comedy, Drama, Romance","15","USA","English",8e+06,8644095,100
"6 Below","http://www.imdb.com/title/tt5503688/?ref_=adv_li_tt",2017,5.7,6270," Adventure, Biography, Drama, Sport, Thriller","12A","USA","English",NA,NA,98
"6 Bullets","http://www.imdb.com/title/tt1975249/?ref_=adv_li_tt",2012,6.1,13892," Action, Crime, Drama, Thriller","15","USA","English",1e+07,NA,115
"6 Days","http://www.imdb.com/title/tt4703048/?ref_=adv_li_tt",2017,6.2,18008," Action, Drama, History, Thriller","15","New Zealand,UK","English,Arabic,Persian",NA,NA,94
"6 Souls","http://www.imdb.com/title/tt1179069/?ref_=adv_li_tt",2010,6.1,32158," Horror, Mystery, Thriller","15","USA","English",2.2e+07,NA,112
"6 Underground","http://www.imdb.com/title/tt8106534/?ref_=adv_li_tt",2019,6.1,133932," Action, Thriller","15","USA","English,Turkmen,Cantonese,Italian,Spanish,Ukrainian,French",1.5e+08,NA,128
"6 Years","http://www.imdb.com/title/tt3799372/?ref_=adv_li_tt",2015,5.6,11465," Drama, Romance","18","USA","English",NA,NA,79
"7 Aum Arivu","http://www.imdb.com/title/tt1725795/?ref_=adv_li_tt",2011,6.3,9871," Action, Sci-Fi, Thriller","15","India","Tamil,Hindi,Telugu",NA,NA,168
"7 Khoon Maaf","http://www.imdb.com/title/tt1629376/?ref_=adv_li_tt",2011,6.1,5448," Drama, Mystery, Thriller","15","India","Hindi,English,Urdu,Russian",4770000,164153,137
"7 cajas","http://www.imdb.com/title/tt2333598/?ref_=adv_li_tt",2012,7.1,5226," Adventure, Crime, Drama, Mystery, Thriller","","Paraguay,Spain","Spanish,Guarani,Korean",NA,6447,105
"Miracle in Cell No. 7","http://www.imdb.com/title/tt2659414/?ref_=adv_li_tt",2013,8.2,16072," Comedy, Drama","","South Korea","Korean",NA,NA,127
"7500","http://www.imdb.com/title/tt6436726/?ref_=adv_li_tt",2019,6.3,17997," Action, Drama, Thriller","15","Germany,Austria,USA","English,German,Turkish,Arabic",NA,NA,93
"96","http://www.imdb.com/title/tt7019842/?ref_=adv_li_tt",2018,8.6,17676," Drama, Romance","PG","India","Tamil",NA,NA,158
"99 Homes","http://www.imdb.com/title/tt2891174/?ref_=adv_li_tt",2014,7.1,29982," Drama","15","USA","English,Spanish",8e+06,32253,112
"A Bad Moms Christmas","http://www.imdb.com/title/tt6359956/?ref_=adv_li_tt",2017,5.6,41109," Comedy","15","USA,China","English,Japanese",2.8e+07,16759161,104
"A Beautiful Day in the Neighborhood","http://www.imdb.com/title/tt3224458/?ref_=adv_li_tt",2019,7.3,55564," Biography, Drama","PG","China,USA","English",2.5e+07,13251238,109
"A Better Life","http://www.imdb.com/title/tt1554091/?ref_=adv_li_tt",2011,7.2,15180," Drama, Romance","12A","USA","English,Spanish",1e+07,62087,98
"A Bigger Splash","http://www.imdb.com/title/tt2056771/?ref_=adv_li_tt",2015,6.4,26906," Drama, Music, Thriller","15","Italy,France,USA","English,Italian",NA,114419,125
"A Case of You","http://www.imdb.com/title/tt1817081/?ref_=adv_li_tt",2013,5.6,11213," Comedy, Romance","15","USA","English",NA,NA,89
"A Christmas Horror Story","http://www.imdb.com/title/tt3688406/?ref_=adv_li_tt",2015,5.7,9021," Fantasy, Horror, Mystery, Sci-Fi, Thriller","15","Canada","English",NA,NA,99
"A Christmas Prince","http://www.imdb.com/title/tt7608418/?ref_=adv_li_tt",2017,5.8,15615," Comedy, Family, Romance","PG","USA","English",NA,NA,92
"A Christmas Prince: The Royal Wedding","http://www.imdb.com/title/tt8709036/?ref_=adv_li_tt",2018,5.3,8225," Drama, Romance","PG","USA","English",NA,NA,92
"A Cure for Wellness","http://www.imdb.com/title/tt4731136/?ref_=adv_li_tt",2016,6.4,84703," Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","18","USA,Germany","English,German",4e+07,4356941,146
"A Dangerous Method","http://www.imdb.com/title/tt1571222/?ref_=adv_li_tt",2011,6.4,98022," Biography, Drama, Romance, Thriller","15","UK,Germany,Canada,USA","English",NA,167953,99
"A Dark Song","http://www.imdb.com/title/tt4805316/?ref_=adv_li_tt",2016,6.2,14270," Drama, Fantasy, Horror, Mystery","15","Ireland,UK","English,French,German",NA,NA,100
"A Dark Truth","http://www.imdb.com/title/tt2083379/?ref_=adv_li_tt",2012,5.6,5780," Action, Thriller","15","Canada","English",NA,630,106
"A Dog's Journey","http://www.imdb.com/title/tt8385474/?ref_=adv_li_tt",2019,7.5,17830," Adventure, Comedy, Drama, Family, Fantasy","PG","China,India,Hong Kong,USA","English",1.6e+07,8030085,109
"A Dog's Purpose","http://www.imdb.com/title/tt1753383/?ref_=adv_li_tt",2017,7.2,64358," Adventure, Comedy, Drama, Family, Fantasy","PG","USA,India","English",2.2e+07,18222810,100
"A Dog's Way Home","http://www.imdb.com/title/tt7616798/?ref_=adv_li_tt",2019,6.7,13977," Adventure, Drama, Family","PG","China,USA","English",1.8e+07,11251263,96
"A Fall from Grace","http://www.imdb.com/title/tt11390036/?ref_=adv_li_tt",2020,5.8,10664," Drama, Thriller","15","USA","English",NA,NA,115
"A Family Man","http://www.imdb.com/title/tt1718924/?ref_=adv_li_tt",2016,6.5,10420," Drama","15","Canada,USA","English",NA,NA,108
"A Fantastic Fear of Everything","http://www.imdb.com/title/tt2006040/?ref_=adv_li_tt",2012,5.8,14007," Comedy, Horror","15","UK","English",NA,NA,100
"A Few Best Men","http://www.imdb.com/title/tt1640711/?ref_=adv_li_tt",2011,5.7,12572," Comedy, Romance","15","Australia,UK","English",NA,NA,97
"A Field in England","http://www.imdb.com/title/tt2375574/?ref_=adv_li_tt",2013,6.3,10928," Drama, History, Horror, Mystery","15","UK","English",NA,9498,90
"A Futile and Stupid Gesture","http://www.imdb.com/title/tt5566790/?ref_=adv_li_tt",2018,6.8,13290," Biography, Comedy","","USA","English",3e+07,NA,101
"A Ghost Story","http://www.imdb.com/title/tt6265828/?ref_=adv_li_tt",2017,6.9,59609," Drama, Fantasy, Romance","12A","USA","English,Spanish",1e+05,104030,92
"A Girl Like Her","http://www.imdb.com/title/tt2523832/?ref_=adv_li_tt",2015,7,6691," Drama","","USA","English",NA,NA,91
"A Girl Walks Home Alone at Night","http://www.imdb.com/title/tt2326554/?ref_=adv_li_tt",2014,7,30684," Drama, Horror, Romance, Thriller","15","USA","Persian",NA,NA,101
"A Good Day to Die Hard","http://www.imdb.com/title/tt1606378/?ref_=adv_li_tt",2013,5.3,196629," Action, Thriller","12A","USA,UK,Hungary","English,Russian,Hindi,Punjabi",9.2e+07,24834845,98
"A Good Marriage","http://www.imdb.com/title/tt2180994/?ref_=adv_li_tt",2014,5.2,10182," Crime, Drama, Thriller","15","USA","English",NA,NA,102
"A Good Old Fashioned Orgy","http://www.imdb.com/title/tt1231586/?ref_=adv_li_tt",2011,6.1,21140," Comedy, Romance","15","USA","English",NA,117564,95
"A Haunted House","http://www.imdb.com/title/tt2243537/?ref_=adv_li_tt",2013,5,43487," Comedy, Fantasy, Horror","15","USA","English,Spanish",2500000,18101682,86
"A Haunted House 2","http://www.imdb.com/title/tt2828996/?ref_=adv_li_tt",2014,4.7,19554," Comedy, Fantasy","18","USA","English",4e+06,8843875,86
"A Hidden Life","http://www.imdb.com/title/tt5827916/?ref_=adv_li_tt",2019,7.4,16583," Biography, Drama, Romance, War","12A","USA,UK,Germany","English,German,Italian",NA,50383,174
"A Hologram for the King","http://www.imdb.com/title/tt2980210/?ref_=adv_li_tt",2016,6.1,39950," Comedy, Drama, Romance","12A","UK,France,Germany,Mexico,USA","English,Arabic",3e+07,1138578,98
"A Kind of Murder","http://www.imdb.com/title/tt2726552/?ref_=adv_li_tt",2016,5.3,6828," Crime, Drama, Thriller","15","USA","English",NA,978,95
"A Late Quartet","http://www.imdb.com/title/tt1226240/?ref_=adv_li_tt",2012,7.1,13767," Drama, Music","15","USA","English",NA,75279,105
"A Little Bit of Heaven","http://www.imdb.com/title/tt1440161/?ref_=adv_li_tt",2011,6.3,27586," Comedy, Drama, Fantasy, Romance","12","USA","English",NA,10011,107
"A Little Chaos","http://www.imdb.com/title/tt2639254/?ref_=adv_li_tt",2014,6.5,20553," Drama, Romance","12A","UK","English",NA,181791,112
"A Lonely Place to Die","http://www.imdb.com/title/tt1422136/?ref_=adv_li_tt",2011,6.2,27256," Crime, Thriller","15","UK","English,Serbian",4e+06,NA,99
"A Long Way Down","http://www.imdb.com/title/tt0458413/?ref_=adv_li_tt",2014,6.4,30828," Comedy, Drama","15","UK,Germany","English",1.2e+07,1426,96
"A Madea Christmas","http://www.imdb.com/title/tt2609758/?ref_=adv_li_tt",2013,4.9,5766," Comedy, Drama, Romance","12","USA","English",2.5e+07,16007634,100
"A Merry Christmas Miracle","http://www.imdb.com/title/tt0910885/?ref_=adv_li_tt",2014,5.1,5803," Comedy, Drama","15","USA","English,Dari",5e+06,NA,88
"A Million Ways to Die in the West","http://www.imdb.com/title/tt2557490/?ref_=adv_li_tt",2014,6.1,174815," Comedy, Western","15","USA","English,Navajo,Mandarin",4e+07,16797385,116
"A Monster Calls","http://www.imdb.com/title/tt3416532/?ref_=adv_li_tt",2016,7.5,79764," Adventure, Drama, Family, Fantasy","12A","UK,Spain,USA","English",4.3e+07,30909,108
"A Most Violent Year","http://www.imdb.com/title/tt2937898/?ref_=adv_li_tt",2014,7,65954," Action, Crime, Drama, Thriller","15","USA,United Arab Emirates","English,Spanish",2e+07,172788,125
"A Most Wanted Man","http://www.imdb.com/title/tt1972571/?ref_=adv_li_tt",2014,6.8,71790," Crime, Drama, Thriller","15","UK,USA,Germany","English,Turkish,Arabic",1.5e+07,2687227,122
"A Nightmare on Elm Street","http://www.imdb.com/title/tt1179056/?ref_=adv_li_tt",2010,5.2,92201," Crime, Drama, Horror, Mystery","18","USA","English",3.5e+07,32902299,95
"A Perfect Day","http://www.imdb.com/title/tt3577624/?ref_=adv_li_tt",2015,6.8,20285," Comedy, Drama, War","","Spain","English,Serbian,Spanish,French,Bosnian",NA,NA,106
"A Prayer Before Dawn","http://www.imdb.com/title/tt4080956/?ref_=adv_li_tt",2017,6.9,20103," Action, Biography, Crime, Drama, Sport","18","UK,France,China,Cambodia,USA,Germany","English,Thai",NA,14453,116
"A Private War","http://www.imdb.com/title/tt2368254/?ref_=adv_li_tt",2018,6.7,16095," Biography, Drama, War","15","UK,USA","English",NA,60491,110
"A Quiet Passion","http://www.imdb.com/title/tt2392830/?ref_=adv_li_tt",2016,6.4,5124," Biography, Drama","12A","UK,Belgium,USA,Canada","English",NA,45825,125
"A Quiet Place","http://www.imdb.com/title/tt6644200/?ref_=adv_li_tt",2018,7.5,400091," Drama, Horror, Sci-Fi","15","USA","English,American Sign Language",1.7e+07,50203562,90
"A Rainy Day in New York","http://www.imdb.com/title/tt7139936/?ref_=adv_li_tt",2019,6.6,27691," Comedy, Romance","12","USA","English",NA,NA,92
"A Royal Night Out","http://www.imdb.com/title/tt1837562/?ref_=adv_li_tt",2015,6.5,9176," Comedy, Drama, Romance","12A","UK","English",NA,100847,97
"Shaun the Sheep Movie: Farmageddon","http://www.imdb.com/title/tt6193408/?ref_=adv_li_tt",2019,6.9,8391," Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","U","UK,France,Belgium,USA,China","English",NA,NA,86
"A Simple Favour","http://www.imdb.com/title/tt7040874/?ref_=adv_li_tt",2018,6.8,124400," Comedy, Crime, Drama, Mystery, Thriller","15","Canada,USA","English",2e+07,16011689,117
"A Single Shot","http://www.imdb.com/title/tt1540741/?ref_=adv_li_tt",2013,5.8,10349," Crime, Drama, Thriller","15","UK,USA,Canada","English",NA,10020,116
"A Star Is Born","http://www.imdb.com/title/tt1517451/?ref_=adv_li_tt",2018,7.6,325577," Drama, Music, Romance","15","USA","English",3.6e+07,42908051,136
"A Street Cat Named Bob","http://www.imdb.com/title/tt3606888/?ref_=adv_li_tt",2016,7.4,27256," Biography, Drama, Family","12A","UK","English",8e+06,32887,103
"A Thousand Words","http://www.imdb.com/title/tt0763831/?ref_=adv_li_tt",2012,5.9,40019," Comedy, Drama","12A","USA","English",4e+07,6176280,91
"A United Kingdom","http://www.imdb.com/title/tt3387266/?ref_=adv_li_tt",2016,6.9,14052," Biography, Drama, History, Romance","12A","Czech Republic,UK,France,USA","Tswana,English",1.4e+07,66510,111
"A Very Harold & Kumar 3D Christmas","http://www.imdb.com/title/tt1268799/?ref_=adv_li_tt",2011,6.3,64941," Adventure, Comedy","18","USA","English,Spanish",1.9e+07,12954142,90
"Invisible Life","http://www.imdb.com/title/tt6390668/?ref_=adv_li_tt",2019,7.8,5604," Drama","","Brazil,Germany","Portuguese,Greek",NA,8127,139
"A Vigilante","http://www.imdb.com/title/tt6211976/?ref_=adv_li_tt",2018,5.7,6552," Crime, Drama, Mystery, Thriller","15","USA","English",NA,NA,91
"The Whiskey Bandit","http://www.imdb.com/title/tt5871080/?ref_=adv_li_tt",2017,7.5,7485," Action, Biography, Crime, Drama","15","Hungary","Hungarian,Romanian",NA,NA,126
"A Walk Among the Tombstones","http://www.imdb.com/title/tt0365907/?ref_=adv_li_tt",2014,6.5,111556," Action, Crime, Drama, Mystery, Thriller","15","USA","English,Spanish,Urdu,Russian",2.8e+07,12758780,114
"A Walk in the Woods","http://www.imdb.com/title/tt1178665/?ref_=adv_li_tt",2015,6.3,24439," Adventure, Biography, Comedy, Drama","15","USA","English",8e+06,8246267,104
"A Wrinkle in Time","http://www.imdb.com/title/tt1620680/?ref_=adv_li_tt",2018,4.2,40479," Adventure, Family, Fantasy, Sci-Fi","PG","USA","English",1e+08,33123609,109
"Strangled","http://www.imdb.com/title/tt4975280/?ref_=adv_li_tt",2016,7,5408," Crime, Drama, Horror, Mystery, Thriller","18","Hungary","Hungarian",NA,NA,121
"The Turin Horse","http://www.imdb.com/title/tt1316540/?ref_=adv_li_tt",2011,7.8,15649," Drama","15","Hungary,France,Switzerland,Germany,USA","Hungarian,German",NA,9145,155
"A-X-L","http://www.imdb.com/title/tt5709188/?ref_=adv_li_tt",2018,5.3,10213," Action, Adventure, Family, Sci-Fi, Thriller","","USA","English",1e+07,2798229,100
"A.C.A.B.","http://www.imdb.com/title/tt1893195/?ref_=adv_li_tt",2012,6.6,7137," Action, Crime, Drama","15","Italy,France","Italian",5e+06,NA,112
"A.C.O.D.","http://www.imdb.com/title/tt1311060/?ref_=adv_li_tt",2013,5.7,12842," Comedy","15","USA","English",NA,19001,88
"A.I. Rising","http://www.imdb.com/title/tt5215088/?ref_=adv_li_tt",2018,5.4,7189," Drama, Romance, Sci-Fi","18","Serbia","English",NA,NA,85
"ABCD (Any Body Can Dance)","http://www.imdb.com/title/tt2321163/?ref_=adv_li_tt",2013,6.3,6185," Drama, Music","Not Rated","India","Hindi",NA,95236,160
"ABCs of Death 2","http://www.imdb.com/title/tt2926810/?ref_=adv_li_tt",2014,5.4,7902," Comedy, Horror","18","USA,New Zealand,Canada,Israel,Japan,Nigeria","English,Japanese,Hebrew,Portuguese,French,Arabic,Filipino,German",NA,4022,125
"ARQ","http://www.imdb.com/title/tt5640450/?ref_=adv_li_tt",2016,6.4,34240," Action, Sci-Fi, Thriller","15","Canada,USA","English",NA,NA,88
"ATM","http://www.imdb.com/title/tt1603257/?ref_=adv_li_tt",2012,4.7,22641," Horror, Thriller","15","USA,Canada","English",3e+06,2034,90
"Aashiqui 2","http://www.imdb.com/title/tt2203308/?ref_=adv_li_tt",2013,7,26327," Drama, Music, Musical, Romance","","India","Hindi",NA,NA,132
"Abad va yek rooz","http://www.imdb.com/title/tt5460658/?ref_=adv_li_tt",2016,8.2,9153," Drama","","Iran","Persian",NA,NA,112
"Abduction","http://www.imdb.com/title/tt1600195/?ref_=adv_li_tt",2011,5.1,76032," Action, Mystery, Thriller","12A","USA","English",3.5e+07,10925253,106
"Abominable","http://www.imdb.com/title/tt6324278/?ref_=adv_li_tt",2019,7,27602," Animation, Adventure, Comedy, Family, Fantasy","U","USA,China,Japan","English,Mandarin",7.5e+07,20612100,97
"About Alex","http://www.imdb.com/title/tt2667918/?ref_=adv_li_tt",2014,6.4,7012," Drama","","USA","English",NA,NA,99
"Cherry","http://www.imdb.com/title/tt1945062/?ref_=adv_li_tt",2012,4.8,9694," Drama","18","USA","English",2500000,2760,98
"About Last Night","http://www.imdb.com/title/tt1826590/?ref_=adv_li_tt",2014,6.1,22522," Comedy, Romance","15","USA","English",12500000,25649011,100
"About Time","http://www.imdb.com/title/tt2194499/?ref_=adv_li_tt",2013,7.8,295088," Comedy, Drama, Fantasy, Romance, Sci-Fi","12A","UK","English",1.2e+07,1076250,123
"Abraham Lincoln: Vampire Hunter","http://www.imdb.com/title/tt1611224/?ref_=adv_li_tt",2012,5.9,148160," Action, Fantasy, Horror, Western","15","USA,Russia","English",6.9e+07,16306974,105
"Absentia","http://www.imdb.com/title/tt1610996/?ref_=adv_li_tt",2011,5.8,16922," Drama, Horror, Mystery","15","USA","English",70000,NA,87
"Absolutely Anything","http://www.imdb.com/title/tt1727770/?ref_=adv_li_tt",2015,6,39194," Comedy, Sci-Fi","12A","UK","English,French",NA,NA,85
"Absolutely Fabulous: The Movie","http://www.imdb.com/title/tt2112096/?ref_=adv_li_tt",2016,5.4,11696," Comedy, Crime","15","UK,USA","English,French",NA,1861118,91
