title,year,rating,genre,country
ABCs of Death 2,2014,5.4,Comedy,USA
Abduction,2011,5.1,Action,USA
Abominable,2019,7,Animation,USA
About Alex,2014,6.4,Drama,USA
About Last Night,2014,6.1,Comedy,USA
About Time,2013,7.8,Comedy,UK
Abraham Lincoln: Vampire Hunter,2012,5.9,Action,USA
Absentia,2011,5.8,Drama,USA
Absolutely Anything,2015,6,Comedy,UK
Absolutely Fabulous: The Movie,2016,5.4,Comedy,UK
Accident Man,2018,6.2,Action,UK
Accidental Love,2015,4.1,Comedy,USA
Acrimony,2018,5.8,Drama,USA
Act of Valour,2012,6.5,Action,USA
Action Point,2018,5.1,Comedy,USA
Acts of Vengeance,2017,5.7,Action,Bulgaria
Acts of Violence,2018,5.3,Action,Canada
Ad Astra,2019,6.5,Adventure,China
Addicted,2014,5.2,Drama,USA
Adieu au langage,2014,5.9,Drama,Switzerland
Admiral,2015,7,Action,Netherlands
Admission,2013,5.7,Comedy,USA
Adore,2013,6.2,Drama,Australia
Adrift,2018,6.6,Action,Hong Kong
Adult Beginners,2014,5.6,Comedy,USA
Adult World,2013,6.1,Comedy,USA
Afflicted,2013,6.3,Action,Canada
After,2012,5.5,Drama,USA
After Earth,2013,4.8,Action,USA
After the Dark,2013,5.7,Drama,USA
After the Wedding,2019,6.3,Drama,USA
After We Collided,2020,5.1,Drama,USA
Aftermath,2017,5.6,Drama,UK
Afternoon Delight,2013,5.7,Comedy,USA
Aftershock,2012,4.8,Action,USA
Against the Sun,2014,6.5,Biography,USA
Age of Heroes,2011,5.6,Action,UK
Agneepath,2012,6.9,Action,India
Ain't Them Bodies Saints,2013,6.4,Crime,USA
Air,2015,5.1,Drama,USA
Aladdin,2019,7,Adventure,UK
Alan Partridge: Alpha Papa,2013,6.9,Action,UK
Albatross,2011,6.4,Drama,UK
Albert Nobbs,2011,6.7,Drama,UK
Alex Cross,2012,5.2,Action,USA
Alex Strangelove,2018,6.3,Comedy,USA
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,Comedy,USA
Ali Baba ve 7 Cüceler,2015,5.8,Action,Turkey
Alice in Wonderland,2010,6.4,Adventure,USA
Alice Through the Looking Glass,2016,6.2,Adventure,USA
Alien Abduction,2014,4.9,Horror,USA
Alien: Covenant,2017,6.4,Horror,USA
Alita: Battle Angel,2019,7.3,Action,USA
All Cheerleaders Die,2013,5.1,Comedy,USA
All Eyez on Me,2017,5.8,Biography,USA
All Good Things,2010,6.3,Crime,USA
All Hallows' Eve,2013,5,Horror,USA
All I See Is You,2016,5.4,Drama,USA
All Is Bright,2013,5.6,Comedy,USA
All Is Lost,2013,6.9,Action,USA
All Nighter,2017,5.7,Comedy,USA
All Roads Lead to Rome,2015,4.9,Comedy,Italy
All the Bright Places,2020,6.5,Drama,USA
All the Money in the World,2017,6.8,Biography,USA
Allegiant,2016,5.7,Action,USA
Allied,2016,7.1,Action,UK
Almost Christmas,2016,6.1,Comedy,USA
Aloha,2015,5.4,Comedy,USA
Alone in Berlin,2016,6.5,Drama,UK
Alpha,2018,6.7,Action,USA
Alpha and Omega,2010,5.2,Animation,USA
Alps,2011,6.4,Drama,Greece
Already Tomorrow in Hong Kong,2015,6.5,Comedy,USA
Altitude,2010,4.8,Horror,Canada
Alvin and the Chipmunks: Chipwrecked,2011,4.3,Animation,USA
Alvin and the Chipmunks: The Road Chip,2015,5,Animation,USA
Always Be My Maybe,2019,6.8,Comedy,USA
American Animals,2018,7,Biography,UK
American Assassin,2017,6.2,Action,USA
American Heist,2014,5,Action,Canada
American Honey,2016,7,Drama,UK
American Hustle,2013,7.2,Crime,USA
American Made,2017,7.2,Action,USA
American Mary,2012,6.3,Drama,Canada
American Pastoral,2016,6.1,Crime,Hong Kong
American Pickle,2020,5.7,Comedy,USA
American Reunion,2012,6.7,Comedy,USA
American Sniper,2014,7.3,Action,USA
American Son,2019,5.7,Drama,USA
American Ultra,2015,6.1,Action,USA
Amityville: The Awakening,2017,4.8,Horror,USA
Amour,2012,7.9,Drama,Austria
Amsal,2015,7.3,Action,South Korea
Anchorman 2: The Legend Continues,2013,6.3,Comedy,USA
And So It Goes,2014,5.8,Comedy,USA
And Soon the Darkness,2010,5.2,Drama,USA
Andhadhun,2018,8.3,Crime,India
Android,2015,6.2,Drama,USA
Angel Has Fallen,2019,6.4,Action,USA
Angel of Mine,2019,6.4,Drama,Australia
Angry Birds,2016,6.3,Animation,Finland
Angry Video Game Nerd: The Movie,2014,5.6,Adventure,USA
Aniara,2018,6.2,Drama,Sweden
Animal,2014,4.7,Action,USA
Animal Kingdom,2010,7.3,Crime,Australia
Animals United,2010,4.9,Animation,Germany
Anna,2019,6.6,Action,France
Anna and the Apocalypse,2017,6,Comedy,UK
Anna Karenina,2012,6.6,Drama,UK
Annabelle,2014,5.4,Horror,USA
Annabelle Comes Home,2019,5.9,Horror,USA
Annabelle: Creation,2017,6.5,Horror,USA
Annie,2014,5.3,Comedy,USA
Annihilation,2018,6.8,Adventure,UK
Anomalisa,2015,7.3,Animation,UK
Anon,2018,6.1,Crime,Germany
Anonymous,2011,6.9,Drama,UK
Another Earth,2011,7,Drama,USA
Another Me,2013,4.7,Mystery,UK
Another Year,2010,7.3,Comedy,UK
Ant-Man,2015,7.3,Action,USA
Ant-Man and the Wasp,2018,7.1,Action,USA
Antebellum,2020,5.5,Drama,USA
Anthropoid,2016,7.2,Action,Czech Republic
Antiviral,2012,5.7,Horror,Canada
Any Day Now,2012,7.5,Drama,USA
Apartment 1303 3D,2012,2.5,Horror,Canada
Apartment 143,2011,5.1,Horror,Spain
Apollo 18,2011,5.2,Horror,USA
Apostle,2018,6.3,Drama,UK
Appleseed Alpha,2014,6.6,Animation,Japan
Approaching the Unknown,2016,4.8,Drama,USA
Aquaman,2018,6.9,Action,USA
Arbitrage,2012,6.6,Drama,USA
Archive,2020,6.3,Drama,UK
Arctic,2018,6.8,Adventure,Iceland
Are You Here,2013,5.3,Comedy,USA
Area 51,2015,4.2,Horror,USA
Argo,2012,7.7,Biography,USA
Arizona,2018,5.7,Comedy,USA
Arkansas,2020,5.9,Crime,USA
Army of One,2016,5.1,Biography,USA
ARQ,2016,6.4,Action,Canada
Arrival,2016,7.9,Drama,USA
Artemis Fowl,2020,4.2,Adventure,USA
Arthur,2011,5.7,Comedy,USA
Arthur 3: la guerre des deux mondes,2010,5.5,Animation,France
Arthur and Mike,2012,5.7,Drama,USA
Arthur Christmas,2011,7.1,Animation,UK
"As Above, So Below",2014,6.2,Horror,USA
As Cool as I Am,2013,5.8,Comedy,USA
Ashby,2015,6.4,Comedy,USA
Ashes in the Snow,2018,6.6,Drama,Lithuania
Ask Me Anything,2014,6,Drama,USA
Assal Eswed,2010,7.9,Comedy,Egypt
Assassin's Creed,2016,5.7,Action,USA
Assassination Games,2011,6.1,Action,USA
Assassination Nation,2018,5.9,Action,USA
At Any Price,2012,5.6,Drama,USA
At Eternity's Gate,2018,6.9,Biography,Ireland
At Middleton,2013,6.5,Comedy,USA
Atlantics,2019,6.7,Drama,France
Atlas Shrugged II: The Strike,2012,5.3,Drama,USA
