title,year,rating,genre,country
Climax,2018,7.1,Drama,France
Clinical,2017,5.1,Horror,USA
Clone,2010,6.4,Drama,Germany
Close,2019,5.7,Action,UK
Closed Circuit,2013,6.2,Crime,UK
Closet Monster,2015,7,Drama,Canada
Cloud Atlas,2012,7.4,Action,USA
Clouds of Sils Maria,2014,6.7,Drama,France
Cloudy with a Chance of Meatballs 2,2013,6.4,Animation,USA
Clown,2014,5.7,Drama,USA
Cockneys vs Zombies,2012,5.9,Action,UK
Coco,2017,8.4,Animation,USA
Code 8,2019,6.1,Action,Canada
Coffee & Kareem,2020,5.1,Action,USA
Coherence,2013,7.2,Drama,USA
Cold Comes the Night,2013,5.7,Crime,USA
Cold in July,2014,6.8,Crime,USA
Cold Pursuit,2019,6.2,Action,UK
Cold Skin,2017,6,Fantasy,Spain
Colette,2018,6.7,Biography,UK
Collateral Beauty,2016,6.8,Drama,USA
Collide,2016,5.7,Action,UK
Colombiana,2011,6.4,Action,France
Color Out of Space,2019,6.2,Horror,USA
Colossal,2016,6.2,Comedy,Canada
Columbus,2017,7.2,Drama,USA
Columbus Circle,2012,6,Crime,USA
Come and Find Me,2016,5.7,Thriller,Canada
Come As You Are,2011,7.4,Comedy,Belgium
Come to Daddy,2019,6,Comedy,Ireland
Comet,2014,6.8,Comedy,USA
Comme un chef,2012,6.6,Comedy,France
Complete Unknown,2016,5.4,Drama,USA
Compliance,2012,6.4,Crime,USA
Conan the Barbarian,2011,5.2,Action,USA
Concussion,2015,7.1,Biography,UK
Contagion,2011,6.7,Drama,United Arab Emirates
Contraband,2012,6.5,Action,USA
Contracted,2013,5.3,Drama,USA
Conviction,2010,7.2,Biography,Switzerland
Cooties,2014,5.7,Action,USA
Cop Car,2015,6.3,Crime,USA
Cop Out,2010,5.6,Action,USA
Copenhagen,2014,7.1,Adventure,Canada
Coriolanus,2011,6.1,Drama,UK
Cosmopolis,2012,5.1,Crime,Canada
Countdown,2019,5.4,Horror,USA
Country Strong,2010,6.3,Drama,USA
Courageous,2011,7,Drama,USA
Cowboys & Aliens,2011,6,Action,USA
Crawl,2019,6.2,Action,USA
Crazy on the Outside,2010,5.5,Comedy,USA
Crazy Rich Asians,2018,6.9,Comedy,USA
"Crazy, Stupid, Love.",2011,7.4,Comedy,USA
Creed,2015,7.6,Drama,USA
Creed II,2018,7.1,Drama,USA
Creep,2014,6.3,Horror,USA
Creep 2,2017,6.5,Horror,USA
Criminal,2016,6.3,Action,USA
Criminal Activities,2015,5.8,Crime,USA
Crimson Peak,2015,6.5,Drama,Canada
Crooked House,2017,6.3,Crime,UK
Cross of Honour,2012,7.2,Action,Norway
Crossfire,2012,4.7,Action,USA
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,6.1,Action,China
Crush,2013,5.6,Horror,USA
Crystal Fairy & the Magical Cactus,2013,5.8,Adventure,Chile
Cuban Fury,2014,6.2,Comedy,UK
Cult of Chucky,2017,5.2,Comedy,USA
Curse of Chucky,2013,5.6,Horror,USA
Curve,2015,5.5,Horror,USA
Cut Bank,2014,6.1,Crime,USA
Cuties,2020,3,Drama,France
Cyrus,2010,6.3,Comedy,USA
Da 5 Bloods,2020,6.5,Adventure,USA
Daawat-e-Ishq,2014,6.1,Comedy,India
Dad's Army,2016,5.2,Comedy,UK
Daddy's Home,2015,6.2,Comedy,USA
Daddy's Home 2,2017,6,Comedy,USA
Dallas Buyers Club,2013,8,Biography,USA
Damsels in Distress,2011,5.7,Comedy,USA
Dangal,2016,8.4,Action,India
Danger Close: The Battle of Long Tan,2019,6.8,Action,Australia
Dangerous Lies,2020,5.2,Drama,USA
Daniel Isn't Real,2019,6.1,Fantasy,USA
Danny Collins,2015,7,Biography,USA
Dark Horse,2011,5.9,Comedy,USA
Dark Places,2015,6.2,Crime,USA
Dark Shadows,2012,6.2,Comedy,USA
Dark Skies,2013,6.3,Horror,USA
Dark Tide,2012,4.3,Action,USA
Dark Waters,2019,7.6,Biography,USA
Darkest Hour,2017,7.4,Biography,UK
Date and Switch,2014,5.7,Comedy,USA
Date Night,2010,6.3,Comedy,USA
Dave Made a Maze,2017,6.2,Adventure,USA
David Brent: Life on the Road,2016,6.3,Comedy,UK
Dawn of the Planet of the Apes,2014,7.6,Action,USA
Day of the Dead: Bloodline,2017,3.4,Action,Bulgaria
Daydream Nation,2010,6.4,Drama,Canada
De Heineken ontvoering,2011,6.5,Crime,Netherlands
Dead Man Down,2013,6.5,Action,USA
Dead Rising,2015,5.2,Action,USA
Dead Snow 2,2014,6.9,Action,Norway
Deadfall,2012,6.3,Crime,France
Deadheads,2011,5.4,Adventure,USA
Deadpool,2016,8,Action,USA
Deadpool 2,2018,7.7,Action,USA
Dear John,2010,6.3,Drama,USA
Dear White People,2014,6.1,Comedy,USA
Death at a Funeral,2010,5.7,Comedy,USA
Death Note,2017,4.5,Action,USA
Death Wish,2018,6.4,Action,USA
Deathgasm,2015,6.3,Action,New Zealand
Deception,2013,7.8,Crime,Italy
Dedemin Insanlari,2011,8,Comedy,Turkey
Deepwater Horizon,2016,7.1,Action,USA
Delhi Belly,2011,7.6,Action,India
Delirium,2018,5.7,Horror,USA
Deliver Us from Evil,2014,6.2,Crime,USA
Delivery Man,2013,6.4,Comedy,USA
Demolition,2015,7,Action,USA
Demon,2015,6.1,Drama,Poland
Demonic,2015,5.3,Horror,USA
Den of Thieves,2018,7,Action,USA
Denial,2016,6.7,Biography,UK
Desi Boyz,2011,5.7,Comedy,India
Desierto,2015,6,Action,Mexico
Desperados,2020,5.1,Comedy,USA
Despicable Me,2010,7.6,Animation,USA
Despicable Me 2,2013,7.3,Animation,USA
Despicable Me 3,2017,6.3,Animation,USA
Destination Wedding,2018,6,Comedy,USA
Destroyer,2018,6.2,Action,USA
Detachment,2011,7.7,Drama,USA
Detention,2011,5.7,Comedy,USA
Detour,2016,6.2,Action,UK
Detroit,2017,7.3,Crime,USA
Devil,2010,6.2,Horror,USA
Devil's Due,2014,4.1,Horror,USA
Devil's Gate,2017,5.1,Horror,Canada
Devil's Knot,2013,6.1,Biography,USA
Dheepan,2015,7.2,Crime,France
Dhobi Ghat,2010,7,Drama,India
Dhoom 3,2013,5.4,Action,India
Diana,2013,5.5,Biography,UK
Diary of a Wimpy Kid,2010,6.2,Comedy,USA
Diary of a Wimpy Kid 2: Rodrick Rules,2011,6.5,Comedy,USA
Diary of a Wimpy Kid: Dog Days,2012,6.3,Comedy,USA
Diary of a Wimpy Kid: The Long Haul,2017,4.3,Comedy,USA
Digging for Fire,2015,5.8,Comedy,USA
Dinner for Schmucks,2010,5.9,Comedy,USA
Dirty Girl,2010,6.4,Comedy,USA
Dirty Grandpa,2016,5.9,Comedy,USA
Disconnect,2012,7.5,Drama,USA
Dismissed,2017,5.7,Drama,USA
Disobedience,2017,6.6,Drama,Ireland
Divergent,2014,6.7,Action,USA
Django Unchained,2012,8.4,Drama,USA
Do You Believe?,2015,6.1,Drama,USA
Doctor Sleep,2019,7.3,Drama,UK
Doctor Strange,2016,7.5,Action,USA
Dodookdeul,2012,6.8,Action,South Korea
Dog Eat Dog,2016,4.7,Action,USA
Dog Pound,2010,7,Drama,France
Dolemite Is My Name,2019,7.3,Biography,USA
Dolittle,2020,5.6,Adventure,USA
Dolphin Tale,2011,6.9,Drama,Canada
Dolphin Tale 2,2014,6.4,Drama,USA
Dom Hemingway,2013,6.2,Comedy,UK
Don 2,2011,7.1,Action,India
Don Jon,2013,6.5,Comedy,USA
Don't Be Afraid of the Dark,2010,5.6,Fantasy,USA
Don't Blink,2014,4.8,Fantasy,USA
Don't Breathe,2016,7.1,Crime,USA
Don't Hang Up,2016,5.6,Horror,UK
Don't Knock Twice,2016,5.1,Drama,UK
Don't Let Go,2019,6.2,Drama,USA
Don't Think Twice,2016,6.7,Comedy,USA
"Don't Worry, He Won't Get Far on Foot",2018,6.9,Biography,France
Doom: Annihilation,2019,3.6,Action,USA
Dope,2015,7.2,Comedy,USA
Dora and the Lost City of Gold,2019,6.1,Adventure,USA
Down a Dark Hall,2018,5.1,Drama,Spain
Downhill,2020,4.8,Comedy,USA
Downsizing,2017,5.7,Drama,USA
Downton Abbey,2019,7.4,Drama,UK
Dracula Untold,2014,6.3,Action,USA
Draft Day,2014,6.8,Drama,USA
Dragged Across Concrete,2018,7,Action,Canada
Dragon Blade,2015,6,Action,China
Dragon Eyes,2012,4.5,Action,USA
Dream House,2011,6,Drama,USA
Dredd,2012,7.1,Action,UK
Drinking Buddies,2013,6.1,Comedy,USA
Drishyam,2015,8.2,Crime,India
Drive,2011,7.8,Crime,USA
Drive Angry,2011,5.4,Action,USA
Drone,2017,5.3,Thriller,Canada
Drunk Parents,2019,3.9,Comedy,USA
Dude,2018,5.1,Comedy,USA
Due Date,2010,6.5,Comedy,USA
Dumb and Dumber To,2014,5.6,Comedy,USA
Dumbo,2019,6.3,Adventure,USA
Dumplin',2018,6.6,Comedy,USA
Dunkirk,2017,7.9,Action,UK
Duplicate,2018,5.9,Drama,USA
Dying of the Light,2014,4.4,Action,Bahamas
Dylan Dog: Dead of Night,2010,5.1,Action,USA
Early Man,2018,6.1,Animation,UK
Earth to Echo,2014,5.8,Adventure,USA
Earthquake Bird,2019,5.9,Crime,UK
Easy A,2010,7,Comedy,USA
Easy Money II: Hard to Kill,2012,6.3,Action,Sweden
Eat Pray Love,2010,5.8,Biography,USA
Eddie the Eagle,2015,7.4,Biography,UK
Eden,2012,6.6,Crime,USA
Edge of Darkness,2010,6.6,Action,UK
Edge of Tomorrow,2014,7.9,Action,USA
Educazione siberiana,2013,6.4,Crime,Italy
Eighth Grade,2018,7.4,Comedy,USA
Ek Tha Tiger,2012,5.5,Action,India
El Camino Christmas,2017,5.7,Comedy,USA
El Camino: A Breaking Bad Movie,2019,7.3,Action,USA
El Gringo,2012,5.4,Action,USA
El hombre de las mil caras,2016,6.9,Biography,Spain
El Niño,2014,6.4,Action,Spain
Electrick Children,2012,6.8,Drama,USA
Elektra Luxx,2010,5.1,Comedy,USA
Elena Undone,2010,6.1,Drama,USA
Elephant White,2011,5.1,Action,USA
Elevator,2011,5.3,Horror,USA
Eli,2019,5.7,Drama,USA
Eliza Graves,2014,6.8,Drama,USA
Elizabeth Harvest,2018,5.8,Horror,USA
Elles,2011,5.6,Drama,France
Elvis & Nixon,2016,6.4,Comedy,USA
Elysium,2013,6.6,Action,USA
Embrace of the Serpent,2015,7.9,Adventure,Colombia
Emelie,2015,5.4,Horror,USA
Emma.,2020,6.7,Comedy,UK
Emperor,2012,6.5,Drama,Japan
Empire State,2013,5.2,Action,USA
End of Watch,2012,7.6,Action,USA
Ender's Game,2013,6.6,Action,USA
Endless Love,2014,6.3,Drama,USA
Enemies Closer,2013,5.2,Action,USA
Enemy,2013,6.9,Drama,Canada
Enola Holmes,2020,6.6,Action,UK
Enough Said,2013,7,Comedy,USA
Entebbe,2018,5.8,Action,UK
Enter Nowhere,2011,6.5,Mystery,USA
Entourage,2015,6.6,Comedy,USA
Epic,2013,6.7,Animation,USA
Equals,2015,6.1,Drama,USA
Erased,2012,6.1,Action,USA
Ernest & Celestine,2012,7.9,Animation,France
Escape from Planet Earth,2012,5.9,Animation,USA
Escape from Pretoria,2020,6.8,Thriller,UK
Escape from Tomorrow,2013,5.1,Drama,USA
Escape Plan,2013,6.7,Action,USA
Escape Plan 3,2019,4.4,Action,USA
Escape Plan II,2018,3.8,Action,China
Escape Room,2017,4.2,Horror,USA
Escobar,2017,6.3,Biography,Spain
Escobar: Paradise Lost,2014,6.5,Crime,France
Essential Killing,2010,6.1,Action,Poland
Europa Report,2013,6.4,Drama,USA
Eurovision Song Contest: The Story of Fire Saga,2020,6.5,Comedy,USA
Even the Rain,2010,7.4,Drama,Spain
Everest,2015,7.1,Action,UK
Everly,2014,5.1,Action,USA
Every Day,2018,6.4,Drama,Canada
Every Secret Thing,2014,6.1,Crime,USA
Every Thing Will Be Fine,2015,5.4,Drama,Germany
Everybody Knows,2018,6.9,Crime,Spain
Everybody Wants Some!!,2016,6.9,Comedy,USA
Everything Must Go,2010,6.4,Drama,USA
"Everything, Everything",2017,6.4,Drama,USA
Evidence,2013,5.4,Crime,USA
Evil Dead,2013,6.5,Fantasy,USA
Ex Machina,2014,7.7,Drama,UK
Excision,2012,6.1,Comedy,USA
Exists,2014,5.2,Horror,USA
Exodus: Gods and Kings,2014,6,Action,UK
Expelled,2014,4.8,Comedy,USA
Experimenter,2015,6.6,Biography,USA
Exposed,2016,4.3,Crime,USA
Extinction,2018,5.8,Action,USA
Extortion,2017,6.2,Action,USA
Extra Ordinary,2019,6.4,Comedy,Ireland
Extraction,2012,6.5,Drama,USA
Extraordinary Measures,2010,6.4,Drama,USA
Extraterrestrial,2014,5,Action,Canada
Extremely Loud & Incredibly Close,2011,6.9,Adventure,USA
"Extremely Wicked, Shockingly Evil and Vile",2019,6.6,Biography,USA
Eye for an Eye,2019,4.7,Thriller,Italy
Eye in the Sky,2015,7.3,Action,UK
Faces in the Crowd,2011,5.7,Crime,USA
Fack ju Göhte 2,2015,6,Comedy,Germany
Fading Gigolo,2013,6.2,Comedy,USA
Fahrenheit 451,2018,4.9,Drama,USA
Fair Game,2010,6.8,Biography,USA
Falcon Rising,2014,5.8,Action,USA
Fallen,2016,5.4,Drama,UK
Falling Inn Love,2019,5.6,Comedy,USA
Family Weekend,2013,6.2,Comedy,USA
Fantastic Beasts and Where to Find Them,2016,7.3,Adventure,UK
Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,Adventure,UK
Fantastic Four,2015,4.3,Action,USA
Fantasy Island,2020,4.9,Action,USA
Far from the Madding Crowd,2015,7.1,Drama,UK
"Farewell, My Queen",2012,6.2,Drama,France
Fast & Furious 5,2011,7.3,Action,USA
Fast & Furious 7,2015,7.1,Action,USA
Fast & Furious 8,2017,6.7,Action,China
Fast & Furious: Hobbs & Shaw,2019,6.4,Action,USA
Faster,2010,6.4,Action,USA
Father Figures,2017,5.5,Comedy,USA
Father of Invention,2010,5.8,Comedy,USA
Father of the Year,2018,5.2,Comedy,USA
Fathers & Daughters,2015,7.1,Drama,Italy
Faults,2014,6.7,Comedy,USA
Fear Clinic,2014,4.9,Horror,USA
February,2015,5.9,Horror,Canada
Feel the Beat,2020,6.3,Comedy,USA
Fences,2016,7.2,Drama,USA
Ferdinand,2017,6.7,Animation,USA
Fifty Shades Darker,2017,4.6,Drama,USA
Fifty Shades Freed,2018,4.5,Drama,USA
Fifty Shades of Black,2016,3.5,Comedy,USA
Fifty Shades of Grey,2015,4.1,Drama,USA
Fighting with My Family,2019,7.1,Biography,UK
Film Stars Don't Die in Liverpool,2017,6.7,Biography,UK
Filth,2013,7.1,Comedy,UK
Final Destination 5,2011,5.8,Horror,USA
Final Girl,2015,4.7,Horror,Canada
Final Score,2018,5.7,Action,UK
Finding Dory,2016,7.3,Animation,USA
Finding Fanny,2014,5.7,Adventure,India
Finding the Way Back,2020,6.7,Drama,USA
Finding Your Feet,2017,6.7,Comedy,UK
Fire with Fire,2012,5.6,Action,USA
First Cow,2019,7,Drama,USA
First Kill,2017,5,Action,UK
First Man,2018,7.3,Biography,USA
First Reformed,2017,7.1,Drama,USA
First They Killed My Father,2017,7.2,Biography,Cambodia
Fisherman's Friends,2019,7,Comedy,UK
Fist Fight,2017,5.6,Comedy,USA
Five Feet Apart,2019,7.2,Drama,USA
Five Minarets in New York,2010,5.8,Action,Turkey
Flatliners,2017,5.2,Drama,USA
Flavors of Youth,2018,6.6,Animation,China
Flight,2012,7.3,Drama,USA
Flight 7500,2014,4.8,Horror,Japan
Flipped,2010,7.7,Comedy,USA
Florence Foster Jenkins,2016,6.8,Biography,UK
Flower,2017,6,Comedy,USA
Flu,2013,6.7,Action,South Korea
Flypaper,2011,6.4,Comedy,Germany
Focus,2015,6.6,Comedy,USA
Foodfight!,2011,1.5,Animation,USA
Footloose,2011,5.9,Comedy,USA
"For a Good Time, Call...",2012,6,Comedy,USA
For Colored Girls,2010,6.1,Drama,USA
Force,2011,6.4,Action,India
Force Majeure,2014,7.3,Comedy,Sweden
Force of Nature,2020,4.4,Action,USA
Forces spéciales,2011,6.4,Action,France
Forever My Girl,2018,6.7,Drama,USA
Forsaken,2015,6.3,Action,Canada
Four Lions,2010,7.3,Comedy,UK
Fourth Man Out,2015,6.7,Comedy,USA
Foxcatcher,2014,7,Biography,USA
Fractured,2019,6.4,Mystery,USA
Frances Ha,2012,7.5,Comedy,USA
Frank,2014,7,Comedy,UK
Frank & Lola,2016,5.9,Crime,USA
Frankenstein's Army,2013,5.3,Horror,Netherlands
Frankenweenie,2012,6.9,Animation,USA
Frankie & Alice,2010,6.5,Biography,Canada
Freaks,2018,6.7,Drama,Canada
Freaks of Nature,2015,5.9,Comedy,USA
Freaky Deaky,2012,6,Comedy,USA
Free Birds,2013,5.8,Animation,USA
Free Fire,2016,6.4,Action,UK
Free State of Jones,2016,6.9,Action,USA
Freeheld,2015,6.6,Biography,USA
Freerunner,2011,3.6,Action,USA
Freier Fall,2013,7.6,Drama,Germany
Frequencies,2013,6.8,Mystery,Australia
Friend Request,2016,5.3,Horror,Germany
Friends with Benefits,2011,6.5,Comedy,USA
Friends with Kids,2011,6.1,Comedy,USA
Friendship!,2010,6.5,Adventure,Germany
Fright Night,2011,6.3,Comedy,USA
From a House on Willow Street,2016,4.8,Action,South Africa
From Paris with Love,2010,6.5,Action,France
From Prada to Nada,2011,5.5,Comedy,Mexico
Frontera,2014,6.6,Drama,USA
Frozen,2010,6.1,Adventure,USA
Frozen 2,2019,6.9,Animation,USA
Fruitvale Station,2013,7.5,Biography,USA
Fun Size,2012,5.4,Adventure,USA
Furious 6,2013,7.1,Action,USA
Furry Vengeance,2010,3.8,Comedy,UK
Fury,2014,7.6,Action,USA
Future World,2018,3.2,Action,USA
G.B.F.,2013,5.9,Comedy,USA
G.I. Joe: Retaliation,2013,5.8,Action,USA
Gainsbourg: A Heroic Life,2010,6.9,Biography,France
Gallows Hill,2013,5.2,Horror,USA
Gallowwalkers,2012,3.6,Action,USA
Galveston,2018,6.2,Action,USA
Gambit,2012,5.7,Comedy,USA
Game Night,2018,6.9,Action,USA
Game of Death,2011,4.7,Action,USA
"Game Over, Man!",2018,5.4,Action,USA
Gangster Squad,2013,6.7,Action,USA
Gemini Man,2019,5.7,Action,China
Gemma Bovery,2014,6.4,Comedy,France
Genius,2016,6.6,Biography,UK
Geography Club,2013,6.5,Comedy,USA
Geostorm,2017,5.3,Action,USA
Gerald's Game,2017,6.6,Drama,USA
Get a Job,2016,5.3,Comedy,USA
Get Hard,2015,6,Comedy,USA
Get Him to the Greek,2010,6.4,Adventure,USA
Get on Up,2014,6.9,Biography,UK
Get Out,2017,7.7,Horror,USA
Getaway,2013,4.4,Action,USA
Ghost in the Shell,2017,6.3,Action,USA
Ghost Rider: Spirit of Vengeance,2011,4.3,Action,USA
Ghost Stories,2017,6.4,Drama,UK
Ghostbusters,2016,6.6,Action,USA
Giant Little Ones,2018,7.2,Drama,Canada
Gifted,2017,7.6,Drama,USA
Gimme Shelter,2013,6.5,Drama,USA
Ginger and Rosa,2012,6.3,Drama,UK
Girl,2018,7.1,Drama,Netherlands
Girl House,2014,5.5,Horror,Canada
Girl in Progress,2012,5.6,Comedy,USA
Girl Most Likely,2012,5.8,Comedy,USA
Girl on the Third Floor,2019,4.6,Drama,USA
Girls Trip,2017,6.2,Adventure,USA
Glass,2019,6.7,Drama,USA
Gloria,2013,6.8,Comedy,Chile
Gloria Bell,2018,6.3,Comedy,Chile
Gnomeo & Juliet,2011,5.9,Animation,UK
Go with Me,2015,5.3,Thriller,USA
Goat,2016,5.7,Drama,USA
God Bless America,2011,7.2,Comedy,USA
God Help the Girl,2014,6.4,Drama,UK
God's Not Dead,2014,4.7,Drama,USA
God's Not Dead 2,2016,4.4,Drama,USA
God's Own Country,2017,7.7,Drama,UK
God's Pocket,2014,6.1,Crime,USA
Gods of Egypt,2016,5.4,Action,USA
Godzilla,2014,6.4,Action,USA
Godzilla: King of the Monsters,2019,6,Action,USA
Going in Style,2017,6.6,Comedy,USA
Going the Distance,2010,6.3,Comedy,USA
Gold,2016,6.7,Crime,USA
Gone,2012,5.9,Action,USA
Gone Girl,2014,8.1,Drama,USA
Good Boys,2019,6.7,Adventure,USA
Good Deeds,2012,5.5,Comedy,USA
Good Kids,2016,6.1,Comedy,USA
Good Kill,2014,6.4,Drama,USA
Good Neighbours,2010,5.8,Drama,Canada
Good Newwz,2019,7,Comedy,India
Good People,2014,5.5,Action,USA
Good Time,2017,7.4,Crime,USA
Goodbye Christopher Robin,2017,7.1,Biography,UK
Goodbye World,2013,5.5,Comedy,USA
Goon,2011,6.8,Comedy,USA
Goon: Last of the Enforcers,2017,5.8,Comedy,Canada
Goosebumps,2015,6.3,Adventure,USA
Goosebumps 2: Haunted Halloween,2018,5.6,Adventure,USA
Gotti,2018,4.8,Biography,Canada
Grabbers,2012,6.3,Action,Ireland
Grace of Monaco,2014,5.7,Biography,Switzerland
Grand Piano,2013,5.9,Drama,Spain
Grandma,2015,6.7,Comedy,USA
Grave Encounters,2011,6.1,Horror,Canada
Grave Encounters 2,2012,5.1,Horror,Canada
Gravity,2013,7.7,Drama,UK
Great Expectations,2012,6.4,Drama,UK
Green Book,2018,8.2,Biography,USA
Green Lantern,2011,5.5,Action,USA
Green Room,2015,7,Horror,USA
Green Street 3: Never Back Down,2013,5.2,Action,UK
Green Zone,2010,6.8,Action,UK
Greenberg,2010,6.1,Comedy,USA
Greenland,2020,6.3,Action,USA
Greta,2018,6,Drama,Ireland
Gretel & Hansel,2020,5.3,Fantasy,Canada
Greyhound,2020,7,Action,USA
Grimsby,2016,6.2,Action,UK
Gringo,2018,6.1,Action,Australia
Grown Ups,2010,5.9,Comedy,USA
Grown Ups 2,2013,5.4,Comedy,USA
Grudge,2020,4.3,Horror,USA
Grudge Match,2013,6.4,Comedy,USA
Guardians of the Galaxy,2014,8,Action,USA
Guardians of the Galaxy: Vol. 2,2017,7.6,Action,USA
Guava Island,2019,6.7,Comedy,USA
Gulliver's Travels,2010,4.9,Adventure,USA
Guns Akimbo,2019,6.3,Action,UK
Guzaarish,2010,7.4,Drama,India
Hacked,2013,6,Horror,USA
Hacker,2016,6.2,Crime,USA
Hacksaw Ridge,2016,8.1,Biography,Australia
Hagane no renkinjutsushi,2017,5.2,Action,Japan
"Hail, Caesar!",2016,6.3,Comedy,USA
Hall Pass,2011,5.8,Comedy,USA
Halloween,2018,6.5,Crime,USA
Hamilton,2020,8.6,Biography,USA
Hamilton: I nationens intresse,2012,6.3,Action,Sweden
Hammer of the Gods,2013,4.5,Action,UK
Hands of Stone,2016,6.6,Biography,Panama
Handsome Devil,2016,7,Comedy,Ireland
Hangman,2017,5.2,Crime,USA
Hanna,2011,6.8,Action,USA
Hannah Arendt,2012,7.1,Biography,Germany
Hansel & Gretel: Witch Hunters,2013,6.1,Action,USA
Happy as Lazzaro,2018,7.5,Drama,Italy
Happy Christmas,2014,5.4,Comedy,USA
Happy Death Day,2017,6.6,Horror,USA
Happy Death Day 2U,2019,6.2,Comedy,USA
Happy End,2017,6.7,Drama,France
Happy Feet Two,2011,5.9,Animation,Australia
Happythankyoumoreplease,2010,6.8,Comedy,USA
Harbinger Down,2015,4.5,Horror,USA
Hardcore Henry,2015,6.7,Action,Russia
Harriet,2019,6.5,Action,China
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,Adventure,UK
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,Adventure,UK
Hasee Toh Phasee,2014,6.8,Comedy,India
Hatchet II,2010,5.5,Action,USA
Hatchet III,2013,5.7,Action,USA
Hateship Loveship,2013,6.1,Drama,USA
Haunt,2013,5.2,Horror,USA
Haunter,2013,5.9,Fantasy,Canada
Haywire,2011,5.8,Action,Ireland
He Never Died,2015,6.4,Comedy,Canada
He's Out There,2018,5.2,Horror,Canada
Headshot,2016,6.3,Action,Indonesia
Heartbeats,2010,7.1,Drama,Canada
Heartbreaker,2010,6.7,Comedy,France
Hearts Beat Loud,2018,6.9,Comedy,USA
Heaven Is for Real,2014,5.8,Biography,USA
Heaven Knows What,2014,6.8,Crime,USA
Heavy Trip,2018,7,Comedy,Finland
Hector and the Search for Happiness,2014,7,Adventure,Germany
Heist,2015,6.1,Action,USA
Hell Baby,2013,4.9,Comedy,USA
Hell Fest,2018,5.5,Horror,USA
Hell House LLC,2015,6.4,Horror,USA
Hell or High Water,2016,7.6,Action,USA
Hellboy,2019,5.2,Action,USA
Hello I Must Be Going,2012,6.2,Comedy,USA
"Hello, My Name Is Doris",2015,6.6,Comedy,USA
Hellraiser: Revelations,2011,2.7,Horror,USA
Henry's Crime,2010,6,Comedy,USA
Her,2013,8,Drama,USA
Hercules,2014,6,Action,USA
Here Alone,2016,5.6,Drama,USA
Here Comes the Boom,2012,6.4,Action,USA
Hereafter,2010,6.4,Drama,USA
Hereditary,2018,7.3,Drama,USA
Hesher,2010,7,Comedy,USA
Hick,2011,5.6,Comedy,USA
Hidden Figures,2016,7.8,Biography,USA
High Flying Bird,2019,6.2,Drama,USA
High Life,2018,5.8,Adventure,France
High School,2010,5.8,Comedy,USA
High Strung,2016,6.4,Drama,USA
High-Rise,2015,5.6,Drama,UK
His House,2020,6.4,Drama,UK
Hit and Run,2012,6.1,Action,USA
Hitchcock,2012,6.8,Biography,USA
Hitman: Agent 47,2015,5.7,Action,USA
Hobo with a Shotgun,2011,6.1,Action,Canada
Hodejegerne,2011,7.5,Action,Norway
Hoi-sa-won,2012,6.7,Action,South Korea
Hold the Dark,2018,5.6,Action,USA
Hold Your Breath,2018,5.9,Drama,France
Holding the Man,2015,7.4,Biography,Australia
Holidate,2020,6.1,Comedy,USA
Holiday in the Wild,2019,6.1,Comedy,USA
Holidays,2016,5.1,Fantasy,USA
Hollow,2011,5.6,Horror,UK
Holmes & Watson,2018,3.8,Comedy,USA
Holy Motors,2012,7.1,Drama,France
Home,2015,6.6,Animation,USA
Home Again,2017,5.8,Comedy,USA
Home Sweet Hell,2015,5.4,Comedy,USA
Homefront,2013,6.5,Action,USA
Honey 2,2011,5.3,Comedy,USA
Honey Boy,2019,7.3,Drama,USA
Honeymoon,2014,5.7,Horror,USA
Hoodwinked Too! Hood vs. Evil,2011,4.7,Animation,USA
Hop,2011,5.4,Animation,USA
Hope Springs,2012,6.3,Comedy,USA
Horns,2013,6.5,Comedy,USA
Horrible Bosses,2011,6.9,Comedy,USA
Horrible Bosses 2,2014,6.3,Comedy,USA
Horse Girl,2020,5.9,Drama,USA
Host,2020,6.6,Horror,UK
Hostiles,2017,7.2,Drama,USA
Hot Pursuit,2015,5.2,Action,USA
Hot Summer Nights,2017,6.4,Comedy,USA
Hot Tub Time Machine,2010,6.4,Comedy,USA
Hot Tub Time Machine 2,2015,5.1,Comedy,USA
Hotel Artemis,2018,6.1,Action,UK
Hotel Mumbai,2018,7.6,Action,Australia
Hotel Transylvania,2012,7.1,Animation,USA
Hotel Transylvania 2,2015,6.7,Animation,USA
Hotel Transylvania 3,2018,6.3,Animation,USA
Hounds of Love,2016,6.5,Crime,Australia
Hours,2013,6.4,Drama,USA
House at the End of the Street,2012,5.6,Drama,Canada
House of Good and Evil,2013,6.5,Thriller,USA
Housebound,2014,6.8,Comedy,New Zealand
How Do You Know,2010,5.4,Comedy,USA
How I Live Now,2013,6.5,Romance,UK
How I Spent My Summer Vacation,2012,7,Action,USA
How It Ends,2018,5,Action,USA
How to Be a Latin Lover,2017,6,Comedy,Mexico
How to Be Single,2016,6.1,Comedy,USA
How To Talk To Girls At Parties,2017,5.7,Comedy,UK
How to Train Your Dragon,2010,8.1,Animation,USA
How to Train Your Dragon 2,2014,7.8,Animation,USA
