title,link,year,rating,n_ratings,genre,cert,country,lang,budget,opening_week,runtime,continent,region
666: The Prophecy,http://www.imdb.com/title/tt1712159/?ref_=adv_li_tt,2011,3.9,11978,Mystery,15,Spain,English,NA,32771,NA,Europe,Europe & Central Asia
666: The Prophecy,http://www.imdb.com/title/tt1712159/?ref_=adv_li_tt,2011,3.9,11978,Mystery,15,Spain,Spanish,NA,32771,NA,Europe,Europe & Central Asia
666: The Prophecy,http://www.imdb.com/title/tt1712159/?ref_=adv_li_tt,2011,3.9,11978,Thriller,15,USA,English,NA,32771,NA,Americas,North America
666: The Prophecy,http://www.imdb.com/title/tt1712159/?ref_=adv_li_tt,2011,3.9,11978,Thriller,15,USA,Spanish,NA,32771,NA,Americas,North America
666: The Prophecy,http://www.imdb.com/title/tt1712159/?ref_=adv_li_tt,2011,3.9,11978,Thriller,15,Spain,English,NA,32771,NA,Europe,Europe & Central Asia
666: The Prophecy,http://www.imdb.com/title/tt1712159/?ref_=adv_li_tt,2011,3.9,11978,Thriller,15,Spain,Spanish,NA,32771,NA,Europe,Europe & Central Asia
12 Feet Deep,http://www.imdb.com/title/tt5143226/?ref_=adv_li_tt,2017,5.5,11799,Horror,NA,USA,English,NA,NA,85,Americas,North America
12 Feet Deep,http://www.imdb.com/title/tt5143226/?ref_=adv_li_tt,2017,5.5,11799,Thriller,NA,USA,English,NA,NA,85,Americas,North America
12 Rounds 2: Reloaded,http://www.imdb.com/title/tt2317524/?ref_=adv_li_tt,2013,5.3,5218,Action,15,USA,English,4000000,NA,95,Americas,North America
12 Rounds 2: Reloaded,http://www.imdb.com/title/tt2317524/?ref_=adv_li_tt,2013,5.3,5218,Adventure,15,USA,English,4000000,NA,95,Americas,North America
12 Rounds 2: Reloaded,http://www.imdb.com/title/tt2317524/?ref_=adv_li_tt,2013,5.3,5218,Thriller,15,USA,English,4000000,NA,95,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Action,15,USA,English,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Action,15,USA,Dari,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Action,15,USA,Russian,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Action,15,USA,Spanish,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Action,15,USA,Uzbek,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Drama,15,USA,English,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Drama,15,USA,Dari,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Drama,15,USA,Russian,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Drama,15,USA,Spanish,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,Drama,15,USA,Uzbek,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,History,15,USA,English,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,History,15,USA,Dari,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,History,15,USA,Russian,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,History,15,USA,Spanish,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,History,15,USA,Uzbek,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,War,15,USA,English,35000000,15815025,130,Americas,North America
